basins,basinname
North_Marina_Islands_and_Guam,North_Marina_Islands_and_Guam
SAmerCstNE,Northeast_South_America_South_Atlantic_Coast
DvinaRN,Northern_Dvina
NWTerr,Northwest_Territories
ObR,Ob
OderR,Oder
OhioR,Ohio_River
OrangeR,Orange
OrinocoR,Orinoco
PacArctic,Pacific_and_Arctic_Coast
MexCstW,Pacific_Central_Coast
UsaPacNW,Pacific_Northwest
IdnE,Palau_and_East_Indonesia
Pampas,Pampas_Region
Papaloapan,Papaloapan
PapuaCst,Papua_New_Guinea_Coast
ParnaibaR,Parnaiba
MalaysiaP,Peninsula_Malaysia
PennarR,Pennar
PersianGulf,Persian_Gulf_Coast
PeruCst,Peru_Pacific_Coast
Phlppns,Philippines
Tibet,Plateau_of_Tibet_Interior
PoR,Po
PolandCst,Poland_Coast
RedSeaE,Red_Sea_East_Coast
RioBalsas,Rio_Balsas
RioLerma,Rio_Lerma
RioVerde,Rio_Verde
RhineR,Rhine
RhoneR,Rhone
RiftValley,Rift_Valley
RioGrande,Rio_Grande_River
BarentsSea,Russia_Barents_Sea_Coast
RusCstSE,Russia_South_East_Coast
SabarmatiR,Sabarmati
Salinas,Salinas_Grandes
Salween,Salween
SaoFrancR,Sao_Francisco
NelsonR,Saskatchewan_Nelson
ScndnvN,Scandinavia_North_Coast
ScheldtR,Scheldt
Scotland,Scotland
SeineR,Seine
SenegalR,Senegal
SepikR,Sepik
ShebJubR,Shebelli_Juba
SiberiaN,Siberia_North_Coast
SiberiaW,Siberia_West_Coast
SinaiP,Sinai_Peninsula
SittaungR,Sittang
SolomonIsl,Solomon_Islands
AfrCstS,South_Africa_South_Coast
AfrCstSSW,South_Africa_West_Coast
ArgColoR,South_America_Colorado
ArgCstS,South_Argentina_South_Atlantic_Coast
UsaCstSE,South_Atlantic_Gulf
ChileCstS,South_Chile_Pacific_Coast
SChinaSea,South_China_Sea_Coast
NewCaledn,South_Pacific_Islands
CntAmer,Southern_Central_America
IberiaCst,Spain_Portugal_Atlantic_Coast
SpainCstSE,Spain_South_and_East_Coast
SriLanka,Sri_Lanka
StLwrncR,St_Lawrence
Sulawesi,Sulawesi
Sumatra,Sumatra
Sweden,Sweden
SyrDaryaR,Syr_Darya
TagusR,Tagus
Taiwan,Taiwan
TaptiR,Tapti
Tarim,Tarim_Interior
Tasmania,Tasmania
TennR,Tennessee_River
TexasCst,Texas_Gulf_Coast
TiberR,Tiber
TigrEuphR,Tigris_Euphrates
TocantinsR,Tocantins
UsaColoRN,Upper_Colorado_River
MissppRN,Upper_Mississippi
UralR,Ural
BrzCstS,Uruguay_Brazil_South_Atlantic_Coast
VietnamCst,Viet_Nam_Coast
VolgaR,Volga
VoltaR,Volta
WislaR,Wisla
XunJiang,Xun_Jiang
Yangtze,Yangtze
BengalW,Yasai
YeniseiR,Yenisey
YucatanP,Yucatan_Peninsula
ZambeziR,Zambezi
ZiyaHe,Ziya_He_Interior
