basins,basinname
AdrBlkSea,Adriatic_Sea_Greece_Black_Sea_Coast
AfrCstE,Africa_East_Central_Coast
AfrCstSE,Africa_Indian_Ocean_Coast
AfrIntN,Africa_North_Interior
AfrCstNW,Africa_North_West_Coast
AfrCstNE,Africa_Red_Sea_Gulf_of_Aden_Coast
AfrIntS,Africa_South_Interior
AfrCstW,Africa_West_Coast
AmazonR,Amazon
AmuDaryaR,Amu_Darya
AmurR,Amur
AdnNicIsl,Andaman_Nicobar_Islands
AngolaCst,Angola_Coast
Antarctica,Antarctica
ArabianP,Arabian_Peninsula
ArabianSea,Arabian_Sea_Coast
ArcticIsl,Arctic_Ocean_Islands
ArkWhtRedR,Arkansas_White_Red
CanAtl,Atlantic_Ocean_Seaboard
AusCstE,Australia_East_Coast
AusInt,Australia_Interior
AusCstN,Australia_North_Coast
AusCstS,Australia_South_Coast
AusCstW,Australia_West_Coast
MexBaja,Baja_California
BalticSea,Baltic_Sea_Coast
BengalBay,Bay_of_Bengal_North_East_Coast
BlackSeaN,Black_Sea_North_Coast
BlackSeaS,Black_Sea_South_Coast
BoHai,Bo_Hai_Korean_Bay_North_Coast
BrahmaniR,Brahamani
California,California_River
Caribbean,Caribbean
SAmerCstN,Caribbean_Coast
CaspianNE,Caspian_Sea_Coast
CaspianE,Caspian_Sea_East_Coast
CaspianSW,Caspian_Sea_South_West_Coast
CauveryR,Cauvery
Iran,Central_Iran
Patagonia,Central_Patagonia_Highlands
ChaoPhrR,Chao_Phraya
ChinaCst,China_Coast
ChurchillR,Churchill
ColEcuaCst,Colombia_Ecuador_Pacific_Coast
CongoR,Congo
DanubeR,Danube
DaugavaR,Daugava
DeadSea,Dead_Sea
DnkGrmCst,Denmark_Germany_Coast
DnieperR,Dnieper
DniesterR,Dniester
DonR,Don
DouroR,Douro
BrzCstE,East_Brazil_South_Atlantic_Coast
EJrdnSyr,Eastern_Jordan_Syria
EbroR,Ebro
ElbeR,Elbe
EmsWeserR,Ems_Weser
EngWales,England_and_Wales
FarahrudR,Farahrud
Finland,Finland
FlyR,Fly
FranceCstS,France_South_Coast
FranceCstW,France_West_Coast
FraserR,Fraser
GangesR,Ganges_Bramaputra
Gironde,Gironde
Gobi,Gobi_Interior
GodavariR,Godavari
GreatBasin,Great
GreatLakes,Great_Lakes
GrijUsuR,Grijalva_Usumacinta
GuadalqR,Guadalquivir
GuadianaR,Guadiana
GuineaGulf,Gulf_of_Guinea
ThaiGulf,Gulf_of_Thailand_Coast
Hainan,Hainan
HamuMashR,Hamun_i_Mashkel
Hawaii,Hawaii
Helmand,Helmand
Hong,Hong_Red_River
HuangHeR,Huang_He
HudsonBay,Hudson_Bay_Coast
Iceland,Iceland
IndCstE,India_East_Coast
IndCstNE,India_North_East_Coast
IndCstS,India_South_Coast
IndCstW,India_West_Coast
IndusR,Indus
Ireland,Ireland
IrianJaya,Irian_Jaya_Coast
IrrawaddyR,Irrawaddy
Tehuantpc,Isthmus_of_Tehuantepec
ItalyCstE,Italy_East_Coast
ItalyCstW,Italy_West_Coast
Japan,Japan
JavaTimor,Java_Timor
Kalimantan,Kalimantan
KaraSea,Kara_Sea_Coast
KrishnaR,Krishna
RioLaPlata,La_Plata
LaPuna,La_Puna_Region
LBalkash,Lake_Balkash
LChad,Lake_Chad
LenaR,Lena
LimpopoR,Limpopo
LoireR,Loire
UsaColoRS,Lower_Colorado_River
MissppRS,Lower_Mississippi_River
Mackenzie,Mackenzie
Madagascar,Madagascar
MagdalenaR,Magdalena
MahanadiR,Mahandi
MahiR,Mahi
MarChiq,Mar_Chiquita
MeditE,Mediterranean_Sea_East_Coast
MeditIsl,Mediterranean_Sea_Islands
MeditS,Mediterranean_South_Coast
Mekong,Mekong
MexInt,Mexico_Interior
MexCstNW,Mexico_Northwest_Coast
Micronesia,Micronesia
UsaCstE,Mid_Atlantic
MissouriR,Missouri_River
MurrayDrlg,Murray_Darling
AfrCstSW,Namibia_Coast
NarmadaR,Narmada
NarvaR,Narva
NegroR,Negro
NemanR,Neman
NevaR,Neva
UsaCstNE,New_England
NewZealand,New_Zealand
NigerR,Niger
NileR,Nile
Korea,North_and_South_Korea
ArgCstN,North_Argentina_South_Atlantic_Coast
BorneoCstN,North_Borneo_Coast
BrzCstN,North_Brazil_South_Atlantic_Coast
ChileCstN,North_Chile_Pacific_Coast
MexGulf,North_Gulf
