id,param,scenario,dataset,region,classLabel,class,x,units,value
1,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,1975,Ag Production (Mt),338.079000832271
2,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,1990,Ag Production (Mt),478.34277208074
3,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2005,Ag Production (Mt),718.035532519076
4,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2010,Ag Production (Mt),853.346383214735
5,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2015,Ag Production (Mt),1075.12208938034
6,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2020,Ag Production (Mt),1197.91724524775
7,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2025,Ag Production (Mt),1272.57311333947
8,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2030,Ag Production (Mt),1333.04328022188
9,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2035,Ag Production (Mt),1383.4911620499
10,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2040,Ag Production (Mt),1460.10416798354
11,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2045,Ag Production (Mt),1580.3807729652
12,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2050,Ag Production (Mt),1688.0453739903
13,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2055,Ag Production (Mt),1770.39683524793
14,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2060,Ag Production (Mt),1827.30044431014
15,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2065,Ag Production (Mt),1876.27926764901
16,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2070,Ag Production (Mt),1902.15781738236
17,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2075,Ag Production (Mt),1920.64919346272
18,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2080,Ag Production (Mt),1939.20996669958
19,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2085,Ag Production (Mt),1959.186853777
20,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2090,Ag Production (Mt),1977.12964096807
21,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2095,Ag Production (Mt),1989.28202734693
22,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,Corn,2100,Ag Production (Mt),1997.52299861098
23,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,FiberCrop,1975,Ag Production (Mt),44.293135628082
24,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,FiberCrop,1990,Ag Production (Mt),59.572326465534
25,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,FiberCrop,2005,Ag Production (Mt),73.7651077595156
26,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,FiberCrop,2010,Ag Production (Mt),76.4036970382514
27,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,FiberCrop,2015,Ag Production (Mt),76.9038960466058
28,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,FiberCrop,2020,Ag Production (Mt),82.6739271793064
29,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,FiberCrop,2025,Ag Production (Mt),87.9447544983044
30,agProdByCrop,GCAM_SSP2,gcamv7p0,global,Crop,FiberCrop,2030,Ag Production (Mt),92.9564219081866
