id,scenario,dataset,region,classLabel,class,x,units,value
1,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,1990,Electricity Generation by Fuel (TWh),0.359013250000003
2,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2005,Electricity Generation by Fuel (TWh),0.58403280555556
3,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2010,Electricity Generation by Fuel (TWh),0.759036277777784
4,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2015,Electricity Generation by Fuel (TWh),0.67684769444445
5,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2020,Electricity Generation by Fuel (TWh),2.16949641666668
6,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2025,Electricity Generation by Fuel (TWh),7.13377863888895
7,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2030,Electricity Generation by Fuel (TWh),16.8311081944446
8,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2035,Electricity Generation by Fuel (TWh),32.8351129166669
9,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2040,Electricity Generation by Fuel (TWh),58.9933378611116
10,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2045,Electricity Generation by Fuel (TWh),95.9504817500008
11,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2050,Electricity Generation by Fuel (TWh),141.239126305557
12,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,1990,Electricity Generation by Fuel (TWh),0.18385338888889
13,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,2005,Electricity Generation by Fuel (TWh),1.30070500000001
14,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,2010,Electricity Generation by Fuel (TWh),1.98673944444446
15,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,2015,Electricity Generation by Fuel (TWh),1.20111583333334
16,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,2020,Electricity Generation by Fuel (TWh),4.13008944444448
17,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,2025,Electricity Generation by Fuel (TWh),7.40017608333339
18,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,2030,Electricity Generation by Fuel (TWh),12.1543024722223
