id,scenario,dataset,region,param,x,units,value
66,GCAM_SSP3,foresight_v1,global,pop,2100,Population (Millions),12738.443
67,GCAM_SSP5,foresight_v1,global,elecByTechTWh,1990,Electricity Generation by Fuel (TWh),11472.18307
68,GCAM_SSP5,foresight_v1,global,elecByTechTWh,2005,Electricity Generation by Fuel (TWh),17770.26149
69,GCAM_SSP5,foresight_v1,global,elecByTechTWh,2010,Electricity Generation by Fuel (TWh),20943.65262
70,GCAM_SSP5,foresight_v1,global,elecByTechTWh,2015,Electricity Generation by Fuel (TWh),23676.04878
71,GCAM_SSP5,foresight_v1,global,elecByTechTWh,2020,Electricity Generation by Fuel (TWh),29157.58509
72,GCAM_SSP5,foresight_v1,global,elecByTechTWh,2025,Electricity Generation by Fuel (TWh),36900.02069
73,GCAM_SSP5,foresight_v1,global,elecByTechTWh,2030,Electricity Generation by Fuel (TWh),47404.59796
74,GCAM_SSP5,foresight_v1,global,elecByTechTWh,2035,Electricity Generation by Fuel (TWh),59465.49525
75,GCAM_SSP5,foresight_v1,global,elecByTechTWh,2040,Electricity Generation by Fuel (TWh),71878.13812
76,GCAM_SSP5,foresight_v1,global,elecByTechTWh,2045,Electricity Generation by Fuel (TWh),83753.43213
77,GCAM_SSP5,foresight_v1,global,elecByTechTWh,2050,Electricity Generation by Fuel (TWh),94607.59044
78,GCAM_SSP5,foresight_v1,global,pop,1975,Population (Millions),4075.522
79,GCAM_SSP5,foresight_v1,global,pop,1990,Population (Millions),5321.687
80,GCAM_SSP5,foresight_v1,global,pop,2005,Population (Millions),6534.314
81,GCAM_SSP5,foresight_v1,global,pop,2010,Population (Millions),6947.252
82,GCAM_SSP5,foresight_v1,global,pop,2015,Population (Millions),7369.295
83,GCAM_SSP5,foresight_v1,global,pop,2020,Population (Millions),7687.545
84,GCAM_SSP5,foresight_v1,global,pop,2025,Population (Millions),7965.902
85,GCAM_SSP5,foresight_v1,global,pop,2030,Population (Millions),8197.079
86,GCAM_SSP5,foresight_v1,global,pop,2035,Population (Millions),8394.206
87,GCAM_SSP5,foresight_v1,global,pop,2040,Population (Millions),8550.791
88,GCAM_SSP5,foresight_v1,global,pop,2045,Population (Millions),8662.553
89,GCAM_SSP5,foresight_v1,global,pop,2050,Population (Millions),8727.836
90,GCAM_SSP5,foresight_v1,global,pop,2055,Population (Millions),8751.579
91,GCAM_SSP5,foresight_v1,global,pop,2060,Population (Millions),8736.307
92,GCAM_SSP5,foresight_v1,global,pop,2065,Population (Millions),8684.849
93,GCAM_SSP5,foresight_v1,global,pop,2070,Population (Millions),8599.48
94,GCAM_SSP5,foresight_v1,global,pop,2075,Population (Millions),8482.525
95,GCAM_SSP5,foresight_v1,global,pop,2080,Population (Millions),8335.649
96,GCAM_SSP5,foresight_v1,global,pop,2085,Population (Millions),8159.448
97,GCAM_SSP5,foresight_v1,global,pop,2090,Population (Millions),7958.087
98,GCAM_SSP5,foresight_v1,global,pop,2095,Population (Millions),7735.189
99,GCAM_SSP5,foresight_v1,global,pop,2100,Population (Millions),7492.472
