id,scenario,dataset,region,classLabel,class,x,units,param,value
1,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,1990,Electricity Generation by Fuel (TWh),elecByTechTWh,0.35901325
2,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2005,Electricity Generation by Fuel (TWh),elecByTechTWh,0.584032806
3,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2010,Electricity Generation by Fuel (TWh),elecByTechTWh,0.759036278
4,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2015,Electricity Generation by Fuel (TWh),elecByTechTWh,0.676847694
5,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2020,Electricity Generation by Fuel (TWh),elecByTechTWh,2.169496417
6,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2025,Electricity Generation by Fuel (TWh),elecByTechTWh,7.133778639
7,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2030,Electricity Generation by Fuel (TWh),elecByTechTWh,16.83110819
8,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2035,Electricity Generation by Fuel (TWh),elecByTechTWh,32.83511292
9,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2040,Electricity Generation by Fuel (TWh),elecByTechTWh,58.99333786
10,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2045,Electricity Generation by Fuel (TWh),elecByTechTWh,95.95048175
11,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,biomass,2050,Electricity Generation by Fuel (TWh),elecByTechTWh,141.2391263
12,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,1990,Electricity Generation by Fuel (TWh),elecByTechTWh,0.183853389
13,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,2005,Electricity Generation by Fuel (TWh),elecByTechTWh,1.300705
14,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,2010,Electricity Generation by Fuel (TWh),elecByTechTWh,1.986739444
15,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,2015,Electricity Generation by Fuel (TWh),elecByTechTWh,1.201115833
16,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,2020,Electricity Generation by Fuel (TWh),elecByTechTWh,4.130089444
17,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,2025,Electricity Generation by Fuel (TWh),elecByTechTWh,7.400176083
18,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,2030,Electricity Generation by Fuel (TWh),elecByTechTWh,12.15430247
19,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,2035,Electricity Generation by Fuel (TWh),elecByTechTWh,18.56295594
20,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,2040,Electricity Generation by Fuel (TWh),elecByTechTWh,28.21077275
21,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,2045,Electricity Generation by Fuel (TWh),elecByTechTWh,41.48352172
22,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,coal,2050,Electricity Generation by Fuel (TWh),elecByTechTWh,59.63825842
23,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,gas,2010,Electricity Generation by Fuel (TWh),elecByTechTWh,0.100232186
24,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,gas,2015,Electricity Generation by Fuel (TWh),elecByTechTWh,0.316597906
25,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,gas,2020,Electricity Generation by Fuel (TWh),elecByTechTWh,2.150476244
26,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,gas,2025,Electricity Generation by Fuel (TWh),elecByTechTWh,4.152018275
27,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,gas,2030,Electricity Generation by Fuel (TWh),elecByTechTWh,7.038424556
28,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,gas,2035,Electricity Generation by Fuel (TWh),elecByTechTWh,10.72420357
29,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,gas,2040,Electricity Generation by Fuel (TWh),elecByTechTWh,16.68172167
30,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,gas,2045,Electricity Generation by Fuel (TWh),elecByTechTWh,25.55641951
31,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,gas,2050,Electricity Generation by Fuel (TWh),elecByTechTWh,38.01726785
32,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,geothermal,1990,Electricity Generation by Fuel (TWh),elecByTechTWh,0.326011667
33,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,geothermal,2005,Electricity Generation by Fuel (TWh),elecByTechTWh,1.003055556
34,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,geothermal,2010,Electricity Generation by Fuel (TWh),elecByTechTWh,1.471069444
35,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,geothermal,2015,Electricity Generation by Fuel (TWh),elecByTechTWh,4.481883333
36,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,geothermal,2020,Electricity Generation by Fuel (TWh),elecByTechTWh,10.78001944
37,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,geothermal,2025,Electricity Generation by Fuel (TWh),elecByTechTWh,17.62869444
38,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,geothermal,2030,Electricity Generation by Fuel (TWh),elecByTechTWh,20.19911667
39,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,geothermal,2035,Electricity Generation by Fuel (TWh),elecByTechTWh,20.20646667
40,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,geothermal,2040,Electricity Generation by Fuel (TWh),elecByTechTWh,20.20719722
41,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,geothermal,2045,Electricity Generation by Fuel (TWh),elecByTechTWh,20.20728333
42,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,geothermal,2050,Electricity Generation by Fuel (TWh),elecByTechTWh,20.19786528
43,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,hydro,1990,Electricity Generation by Fuel (TWh),elecByTechTWh,6.135694444
44,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,hydro,2005,Electricity Generation by Fuel (TWh),elecByTechTWh,10.34738889
45,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,hydro,2010,Electricity Generation by Fuel (TWh),elecByTechTWh,18.09175
46,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,hydro,2015,Electricity Generation by Fuel (TWh),elecByTechTWh,26.86502778
47,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,hydro,2020,Electricity Generation by Fuel (TWh),elecByTechTWh,34.59555556
48,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,hydro,2025,Electricity Generation by Fuel (TWh),elecByTechTWh,42.32638889
49,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,hydro,2030,Electricity Generation by Fuel (TWh),elecByTechTWh,50.05694444
50,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,hydro,2035,Electricity Generation by Fuel (TWh),elecByTechTWh,57.7875
51,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,hydro,2040,Electricity Generation by Fuel (TWh),elecByTechTWh,65.51833333
52,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,hydro,2045,Electricity Generation by Fuel (TWh),elecByTechTWh,73.24888889
53,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,hydro,2050,Electricity Generation by Fuel (TWh),elecByTechTWh,80.97944444
54,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,nuclear,2020,Electricity Generation by Fuel (TWh),elecByTechTWh,0.733793553
55,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,nuclear,2025,Electricity Generation by Fuel (TWh),elecByTechTWh,6.812002203
56,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,nuclear,2030,Electricity Generation by Fuel (TWh),elecByTechTWh,22.2567396
57,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,nuclear,2035,Electricity Generation by Fuel (TWh),elecByTechTWh,50.3450694
58,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,nuclear,2040,Electricity Generation by Fuel (TWh),elecByTechTWh,95.14350646
59,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,nuclear,2045,Electricity Generation by Fuel (TWh),elecByTechTWh,158.6710105
60,GCAM_SSP2,foresight_v1,Africa_Eastern,Fuel,nuclear,2050,Electricity Generation by Fuel (TWh),elecByTechTWh,246.1985059
