"","scenario","subRegion","param","aggregate","class","x","value"
"1","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","biomass",1990,0.358999722222225
"2","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","biomass",2005,0.584000027777782
"3","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","biomass",2010,0.759000000000006
"4","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","biomass",2015,0.676412888888894
"5","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","biomass",2020,3.87367363888892
"6","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","biomass",2025,7.51286455555562
"7","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","biomass",2030,13.0791898611112
"8","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","biomass",2035,21.0252520277779
"9","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","biomass",2040,31.9787817222225
"10","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","biomass",2045,46.292623416667
"11","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","biomass",2050,65.0659596666672
"12","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","coal",1990,0.183846500000001
"13","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","coal",2005,1.30063555555557
"14","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","coal",2010,1.98664500000002
"15","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","coal",2015,1.20034472222223
"16","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","coal",2020,6.93683388888894
"17","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","coal",2025,11.4118710555556
"18","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","coal",2030,16.3992950833335
"19","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","coal",2035,22.3270245555557
"20","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","coal",2040,30.0551374166669
"21","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","coal",2045,39.9128409444448
"22","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","coal",2050,52.696090805556
"23","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","gas",2010,0.100227444444445
"24","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","gas",2015,0.316394991666669
"25","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","gas",2020,2.68862627222224
"26","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","gas",2025,4.85218282500004
"27","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","gas",2030,7.77893176388895
"28","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","gas",2035,11.8105890833334
"29","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","gas",2040,17.5746755027779
"30","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","gas",2045,25.401086877778
"31","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","gas",2050,35.3926215025003
"32","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","geothermal",1990,0.326000000000003
"33","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","geothermal",2005,1.00300000000001
"34","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","geothermal",2010,1.47100000000001
"35","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","geothermal",2015,4.47900833333337
"36","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","geothermal",2020,12.3462583333334
"37","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","geothermal",2025,18.5334166666668
"38","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","geothermal",2030,20.2121111111113
"39","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","geothermal",2035,20.2204472222224
"40","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","geothermal",2040,20.2251138888891
"41","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","geothermal",2045,20.2329583333335
"42","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","geothermal",2050,20.2233916666668
"43","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","hydro",1990,6.13569444444449
"44","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","hydro",2005,10.347388888889
"45","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","hydro",2010,18.0917500000001
"46","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","hydro",2015,26.865027777778
"47","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","hydro",2020,34.5955555555558
"48","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","hydro",2025,42.3263888888892
"49","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","hydro",2030,50.0569444444448
"50","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","hydro",2035,57.7875000000005
"51","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","hydro",2040,65.5183333333339
"52","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","hydro",2045,73.2488888888895
"53","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","hydro",2050,80.9794444444451
"54","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","nuclear",2020,1.34724666666668
"55","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","nuclear",2025,8.98483611111118
"56","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","nuclear",2030,23.5718666666669
"57","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","nuclear",2035,46.3590111111115
"58","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","nuclear",2040,77.1097000000006
"59","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","nuclear",2045,116.517772222223
"60","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","nuclear",2050,166.717355000001
"61","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","refined liquids",1990,2.57834250000002
"62","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","refined liquids",2005,7.90145000000006
"63","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","refined liquids",2010,8.08263888888895
"64","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","refined liquids",2015,11.1897777777779
"65","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","refined liquids",2020,28.6851919444447
"66","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","refined liquids",2025,38.8822269444448
"67","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","refined liquids",2030,52.7645236111115
"68","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","refined liquids",2035,70.2266330555561
"69","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","refined liquids",2040,93.3055625000007
"70","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","refined liquids",2045,120.307586111112
"71","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","refined liquids",2050,154.277915555557
"72","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","solar",2005,0.0144722500000001
"73","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","solar",2010,0.0668888888888894
"74","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","solar",2015,0.187583611111113
"75","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","solar",2020,7.96458920861117
"76","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","solar",2025,20.2940367086649
"77","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","solar",2030,40.23871862384
"78","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","solar",2035,70.1559823188542
"79","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","solar",2040,115.95166926391
"80","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","solar",2045,181.218326552494
"81","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","solar",2050,265.707444992217
"82","GCAM_SSP2","Africa_Eastern","elecByTechTWh","sum","wind",2005,0.00286111111111113
