scenario,region,subRegion,param,sources,class,x,xLabel,vintage,units,aggregate,classLabel,classPalette,origScen,origQuery,origUnits,origX,value
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,1975,Year,Vint_1975,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,1975,0.0036314
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,1990,Year,Vint_1990,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,1990,0.01097998
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2005,Year,Vint_2005,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2005,0.0509037
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2010,Year,Vint_2010,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2010,0.075551
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2015,Year,Vint_2015,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2015,0.0948153
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2020,Year,Vint_2020,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2020,0.095432446
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2025,Year,Vint_2025,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2025,0.095062312
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2030,Year,Vint_2030,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2030,0.093268883
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2035,Year,Vint_2035,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2035,0.087684559
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2040,Year,Vint_2040,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2040,0.08250185
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2045,Year,Vint_2045,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2045,0.078813048
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2050,Year,Vint_2050,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2050,0.075194435
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2055,Year,Vint_2055,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2055,0.077144602
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2060,Year,Vint_2060,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2060,0.078652255
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2065,Year,Vint_2065,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2065,0.0797503
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2070,Year,Vint_2070,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2070,0.076982288
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2075,Year,Vint_2075,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2075,0.077708006
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2080,Year,Vint_2080,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2080,0.078257093
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2085,Year,Vint_2085,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2085,0.078630253
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2090,Year,Vint_2090,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2090,0.078899395
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2095,Year,Vint_2095,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2095,0.07902992
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2100,Year,Vint_2100,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2100,0.079028451
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,FiberCrop,1975,Year,Vint_1975,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,1975,0.0044708
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,FiberCrop,1990,Year,Vint_1990,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,1990,0.0046629
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,FiberCrop,2005,Year,Vint_2005,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2005,0.01033968
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,FiberCrop,2010,Year,Vint_2010,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2010,0.01673018
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,FiberCrop,2015,Year,Vint_2015,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2015,0.02297839
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,FiberCrop,2020,Year,Vint_2020,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2020,0.024729945
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,FiberCrop,2025,Year,Vint_2025,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2025,0.027058141
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,FiberCrop,2030,Year,Vint_2030,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2030,0.029253889
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,FiberCrop,2035,Year,Vint_2035,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2035,0.033855193
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,FiberCrop,2040,Year,Vint_2040,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2040,0.038286248
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,FiberCrop,2045,Year,Vint_2045,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2045,0.043001813
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,FiberCrop,2050,Year,Vint_2050,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2050,0.047370973
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,FiberCrop,2055,Year,Vint_2055,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2055,0.048300439
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,FiberCrop,2060,Year,Vint_2060,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2060,0.048967981
scenX,Southeast Asia,BengalBay,Ag Production (Mt),NA,FiberCrop,2065,Year,Vint_2065,Ag Production (Mt),sum,Crop,pal_metis,scenX,ag production by tech,Mt,2065,0.049543585
