"subRegion","x","param","value","units","aggregate","scenario","class"
"Afghanistan",1,"cases",0.126,"Cases Per Million","sum","COVID","all"
"Afghanistan",2,"cases",4.042,"Cases Per Million","sum","COVID","all"
"Afghanistan",3,"cases",41.699,"Cases Per Million","sum","COVID","all"
"Afghanistan",4,"cases",335.205,"Cases Per Million","sum","COVID","all"
"Afghanistan",5,"cases",408.304,"Cases Per Million","sum","COVID","all"
"Afghanistan",6,"cases",130.11,"Cases Per Million","sum","COVID","all"
"Afghanistan",7,"cases",40.666,"Cases Per Million","sum","COVID","all"
"Afghanistan",8,"cases",27.768,"Cases Per Million","sum","COVID","all"
"Afghanistan",9,"cases",49.706,"Cases Per Million","sum","COVID","all"
"Afghanistan",10,"cases",122.528,"Cases Per Million","sum","COVID","all"
"Afghanistan",11,"cases",153.507,"Cases Per Million","sum","COVID","all"
"Afghanistan",12,"cases",67.607,"Cases Per Million","sum","COVID","all"
"Afghanistan",13,"cases",17.348,"Cases Per Million","sum","COVID","all"
"Afghanistan",14,"cases",18.576,"Cases Per Million","sum","COVID","all"
"Afghanistan",15,"cases",82.613,"Cases Per Million","sum","COVID","all"
"Afghanistan",16,"cases",303.573,"Cases Per Million","sum","COVID","all"
"Afghanistan",17,"cases",1175.361,"Cases Per Million","sum","COVID","all"
"Afghanistan",18,"cases",715.318,"Cases Per Million","sum","COVID","all"
"Afghanistan",19,"cases",152.274,"Cases Per Million","sum","COVID","all"
"Afghanistan",20,"cases",49.054,"Cases Per Million","sum","COVID","all"
"Afghanistan",21,"cases",27.009,"Cases Per Million","sum","COVID","all"
"Afghanistan",22,"cases",26.083,"Cases Per Million","sum","COVID","all"
"Afghanistan",23,"cases",9.012,"Cases Per Million","sum","COVID","all"
"Albania",1,"cases",NA,"Cases Per Million","sum","COVID","all"
"Albania",2,"cases",NA,"Cases Per Million","sum","COVID","all"
"Albania",3,"cases",184.481,"Cases Per Million","sum","COVID","all"
"Albania",4,"cases",126.699,"Cases Per Million","sum","COVID","all"
"Albania",5,"cases",486.61,"Cases Per Million","sum","COVID","all"
"Albania",6,"cases",954.075,"Cases Per Million","sum","COVID","all"
"Albania",7,"cases",1474.802,"Cases Per Million","sum","COVID","all"
"Albania",8,"cases",1439.643,"Cases Per Million","sum","COVID","all"
"Albania",9,"cases",2515.199,"Cases Per Million","sum","COVID","all"
"Albania",10,"cases",6024.156,"Cases Per Million","sum","COVID","all"
"Albania",11,"cases",7008.166,"Cases Per Million","sum","COVID","all"
"Albania",12,"cases",6895.737,"Cases Per Million","sum","COVID","all"
"Albania",13,"cases",10108.135,"Cases Per Million","sum","COVID","all"
"Albania",14,"cases",6261.89,"Cases Per Million","sum","COVID","all"
"Albania",15,"cases",2063.399,"Cases Per Million","sum","COVID","all"
"Albania",16,"cases",428.135,"Cases Per Million","sum","COVID","all"
"Albania",17,"cases",71.703,"Cases Per Million","sum","COVID","all"
"Albania",18,"cases",194.923,"Cases Per Million","sum","COVID","all"
"Albania",19,"cases",4631.502,"Cases Per Million","sum","COVID","all"
"Albania",20,"cases",8264.719,"Cases Per Million","sum","COVID","all"
"Albania",21,"cases",5279.971,"Cases Per Million","sum","COVID","all"
"Albania",22,"cases",5097.577,"Cases Per Million","sum","COVID","all"
"Albania",23,"cases",1385.344,"Cases Per Million","sum","COVID","all"
"Algeria",1,"cases",0.022,"Cases Per Million","sum","COVID","all"
"Algeria",2,"cases",16.027,"Cases Per Million","sum","COVID","all"
"Algeria",3,"cases",73.74,"Cases Per Million","sum","COVID","all"
"Algeria",4,"cases",120.762,"Cases Per Million","sum","COVID","all"
"Algeria",5,"cases",101.148,"Cases Per Million","sum","COVID","all"
"Algeria",6,"cases",369.528,"Cases Per Million","sum","COVID","all"
"Algeria",7,"cases",316.029,"Cases Per Million","sum","COVID","all"
"Algeria",8,"cases",157.696,"Cases Per Million","sum","COVID","all"
"Algeria",9,"cases",143.712,"Cases Per Million","sum","COVID","all"
"Algeria",10,"cases",566.088,"Cases Per Million","sum","COVID","all"
"Algeria",11,"cases",367.822,"Cases Per Million","sum","COVID","all"
"Algeria",12,"cases",173.23,"Cases Per Million","sum","COVID","all"
"Algeria",13,"cases",128.945,"Cases Per Million","sum","COVID","all"
"Algeria",14,"cases",91.893,"Cases Per Million","sum","COVID","all"
"Algeria",15,"cases",110.182,"Cases Per Million","sum","COVID","all"
"Algeria",16,"cases",152.523,"Cases Per Million","sum","COVID","all"
"Algeria",17,"cases",240.111,"Cases Per Million","sum","COVID","all"
"Algeria",18,"cases",711.977,"Cases Per Million","sum","COVID","all"
"Algeria",19,"cases",553.336,"Cases Per Million","sum","COVID","all"
"Algeria",20,"cases",163.146,"Cases Per Million","sum","COVID","all"
"Algeria",21,"cases",69.322,"Cases Per Million","sum","COVID","all"
"Algeria",22,"cases",91.421,"Cases Per Million","sum","COVID","all"
"Algeria",23,"cases",56.638,"Cases Per Million","sum","COVID","all"
"Andorra",1,"cases",4860.771,"Cases Per Million","sum","COVID","all"
"Andorra",2,"cases",4770.276,"Cases Per Million","sum","COVID","all"
