"subRegion","x","param","value","units","aggregate","scenario","class"
"Andorra",3,"cases",245.627,"Cases Per Million","sum","COVID","all"
"Andorra",4,"cases",1176.412,"Cases Per Million","sum","COVID","all"
"Andorra",5,"cases",904.932,"Cases Per Million","sum","COVID","all"
"Andorra",6,"cases",3244.822,"Cases Per Million","sum","COVID","all"
"Andorra",7,"cases",11298.705,"Cases Per Million","sum","COVID","all"
"Andorra",8,"cases",34982.031,"Cases Per Million","sum","COVID","all"
"Andorra",9,"cases",25712.954,"Cases Per Million","sum","COVID","all"
"Andorra",10,"cases",16857.565,"Cases Per Million","sum","COVID","all"
"Andorra",11,"cases",24407.268,"Cases Per Million","sum","COVID","all"
"Andorra",12,"cases",12009.723,"Cases Per Million","sum","COVID","all"
"Andorra",13,"cases",14789.15,"Cases Per Million","sum","COVID","all"
"Andorra",14,"cases",15797.503,"Cases Per Million","sum","COVID","all"
"Andorra",15,"cases",6399.15,"Cases Per Million","sum","COVID","all"
"Andorra",16,"cases",2378.675,"Cases Per Million","sum","COVID","all"
"Andorra",17,"cases",9915.453,"Cases Per Million","sum","COVID","all"
"Andorra",18,"cases",4589.289,"Cases Per Million","sum","COVID","all"
"Andorra",19,"cases",2443.315,"Cases Per Million","sum","COVID","all"
"Andorra",20,"cases",3800.708,"Cases Per Million","sum","COVID","all"
"Andorra",21,"cases",20671.201,"Cases Per Million","sum","COVID","all"
"Andorra",22,"cases",30056.622,"Cases Per Million","sum","COVID","all"
"Angola",1,"cases",0.204,"Cases Per Million","sum","COVID","all"
"Angola",2,"cases",0.587,"Cases Per Million","sum","COVID","all"
"Angola",3,"cases",1.735,"Cases Per Million","sum","COVID","all"
"Angola",4,"cases",5.834,"Cases Per Million","sum","COVID","all"
"Angola",5,"cases",25.462,"Cases Per Million","sum","COVID","all"
"Angola",6,"cases",44.382,"Cases Per Million","sum","COVID","all"
"Angola",7,"cases",68.312,"Cases Per Million","sum","COVID","all"
"Angola",8,"cases",171.896,"Cases Per Million","sum","COVID","all"
"Angola",9,"cases",127.722,"Cases Per Million","sum","COVID","all"
"Angola",10,"cases",71.14,"Cases Per Million","sum","COVID","all"
"Angola",11,"cases",66.1,"Cases Per Million","sum","COVID","all"
"Angola",12,"cases",29.791,"Cases Per Million","sum","COVID","all"
"Angola",13,"cases",44.32,"Cases Per Million","sum","COVID","all"
"Angola",14,"cases",127.927,"Cases Per Million","sum","COVID","all"
"Angola",15,"cases",232.776,"Cases Per Million","sum","COVID","all"
"Angola",16,"cases",126.658,"Cases Per Million","sum","COVID","all"
"Angola",17,"cases",115.754,"Cases Per Million","sum","COVID","all"
"Angola",18,"cases",140.478,"Cases Per Million","sum","COVID","all"
"Angola",19,"cases",266.373,"Cases Per Million","sum","COVID","all"
"Angola",20,"cases",231.335,"Cases Per Million","sum","COVID","all"
"Angola",21,"cases",21.661,"Cases Per Million","sum","COVID","all"
"Angola",22,"cases",6.956,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",1,"cases",70.902,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",2,"cases",172.191,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",3,"cases",20.258,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",4,"cases",435.54,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",5,"cases",222.835,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",6,"cases",30.387,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",7,"cases",70.903,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",8,"cases",273.481,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",9,"cases",131.676,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",10,"cases",182.322,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",11,"cases",759.667,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",12,"cases",5023.903,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",13,"cases",4112.309,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",14,"cases",972.37,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",15,"cases",283.609,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",16,"cases",30.387,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",17,"cases",405.156,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",18,"cases",4173.083,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",19,"cases",15355.32,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",20,"cases",8376.549,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",21,"cases",840.694,"Cases Per Million","sum","COVID","all"
"Antigua and Barb.",22,"cases",212.707,"Cases Per Million","sum","COVID","all"
"Argentina",1,"cases",NA,"Cases Per Million","sum","COVID","all"
"Argentina",2,"cases",NA,"Cases Per Million","sum","COVID","all"
"Argentina",3,"cases",NA,"Cases Per Million","sum","COVID","all"
"Argentina",4,"cases",73.982,"Cases Per Million","sum","COVID","all"
"Argentina",5,"cases",272.399,"Cases Per Million","sum","COVID","all"
"Argentina",6,"cases",1045.46,"Cases Per Million","sum","COVID","all"
"Argentina",7,"cases",2779.733,"Cases Per Million","sum","COVID","all"
"Argentina",8,"cases",4965.004,"Cases Per Million","sum","COVID","all"
"Argentina",9,"cases",7307.53,"Cases Per Million","sum","COVID","all"
"Argentina",10,"cases",9119.955,"Cases Per Million","sum","COVID","all"
"Argentina",11,"cases",5648.6,"Cases Per Million","sum","COVID","all"
"Argentina",12,"cases",4406.916,"Cases Per Million","sum","COVID","all"
"Argentina",13,"cases",6615.93,"Cases Per Million","sum","COVID","all"
"Argentina",14,"cases",3949.626,"Cases Per Million","sum","COVID","all"
"Argentina",15,"cases",5294.412,"Cases Per Million","sum","COVID","all"
"Argentina",16,"cases",13782.057,"Cases Per Million","sum","COVID","all"
"Argentina",17,"cases",17638.558,"Cases Per Million","sum","COVID","all"
"Argentina",18,"cases",15098.729,"Cases Per Million","sum","COVID","all"
"Argentina",19,"cases",10073.057,"Cases Per Million","sum","COVID","all"
"Argentina",20,"cases",5610.162,"Cases Per Million","sum","COVID","all"
"Argentina",21,"cases",1563.004,"Cases Per Million","sum","COVID","all"
"Argentina",22,"cases",699.582,"Cases Per Million","sum","COVID","all"
"Argentina",23,"cases",919.641,"Cases Per Million","sum","COVID","all"
"Argentina",24,"cases",607.533,"Cases Per Million","sum","COVID","all"
"Armenia",1,"cases",179.239,"Cases Per Million","sum","COVID","all"
"Armenia",2,"cases",516.827,"Cases Per Million","sum","COVID","all"
"Armenia",3,"cases",2431.161,"Cases Per Million","sum","COVID","all"
"Armenia",4,"cases",5478.203,"Cases Per Million","sum","COVID","all"
"Armenia",5,"cases",4382.559,"Cases Per Million","sum","COVID","all"
"Armenia",6,"cases",1762.391,"Cases Per Million","sum","COVID","all"
"Armenia",7,"cases",2216.215,"Cases Per Million","sum","COVID","all"
"Armenia",8,"cases",13292.554,"Cases Per Million","sum","COVID","all"
"Armenia",9,"cases",15265.851,"Cases Per Million","sum","COVID","all"
"Armenia",10,"cases",8181.929,"Cases Per Million","sum","COVID","all"
"Armenia",11,"cases",2566.263,"Cases Per Million","sum","COVID","all"
"Armenia",12,"cases",1695.344,"Cases Per Million","sum","COVID","all"
"Armenia",13,"cases",6934,"Cases Per Million","sum","COVID","all"
"Armenia",14,"cases",7892.179,"Cases Per Million","sum","COVID","all"
"Armenia",15,"cases",2225.645,"Cases Per Million","sum","COVID","all"
"Armenia",16,"cases",817.014,"Cases Per Million","sum","COVID","all"
"Armenia",17,"cases",1689.618,"Cases Per Million","sum","COVID","all"
"Armenia",18,"cases",4051.376,"Cases Per Million","sum","COVID","all"
"Armenia",19,"cases",6590.687,"Cases Per Million","sum","COVID","all"
"Armenia",20,"cases",15709.904,"Cases Per Million","sum","COVID","all"
"Armenia",21,"cases",10172.066,"Cases Per Million","sum","COVID","all"
"Armenia",22,"cases",1376.624,"Cases Per Million","sum","COVID","all"
"Australia",1,"cases",0.349,"Cases Per Million","sum","COVID","all"
"Australia",2,"cases",0.621,"Cases Per Million","sum","COVID","all"
"Australia",3,"cases",175.816,"Cases Per Million","sum","COVID","all"
"Australia",4,"cases",85.581,"Cases Per Million","sum","COVID","all"
"Australia",5,"cases",16.907,"Cases Per Million","sum","COVID","all"
"Australia",6,"cases",27.844,"Cases Per Million","sum","COVID","all"
"Australia",7,"cases",362.958,"Cases Per Million","sum","COVID","all"
"Australia",8,"cases",331.122,"Cases Per Million","sum","COVID","all"
"Australia",9,"cases",49.518,"Cases Per Million","sum","COVID","all"
"Australia",10,"cases",19.35,"Cases Per Million","sum","COVID","all"
"Australia",11,"cases",12.294,"Cases Per Million","sum","COVID","all"
"Australia",12,"cases",19.893,"Cases Per Million","sum","COVID","all"
"Australia",13,"cases",15.242,"Cases Per Million","sum","COVID","all"
"Australia",14,"cases",6.207,"Cases Per Million","sum","COVID","all"
"Australia",15,"cases",13.338,"Cases Per Million","sum","COVID","all"
"Australia",16,"cases",18.965,"Cases Per Million","sum","COVID","all"
"Australia",17,"cases",11.903,"Cases Per Million","sum","COVID","all"
"Australia",18,"cases",20.362,"Cases Per Million","sum","COVID","all"
"Australia",19,"cases",145.028,"Cases Per Million","sum","COVID","all"
"Australia",20,"cases",803.079,"Cases Per Million","sum","COVID","all"
"Australia",21,"cases",2019.836,"Cases Per Million","sum","COVID","all"
"Australia",22,"cases",2514.673,"Cases Per Million","sum","COVID","all"
"Australia",23,"cases",1536.556,"Cases Per Million","sum","COVID","all"
"Australia",24,"cases",817.544,"Cases Per Million","sum","COVID","all"
"Austria",1,"cases",0.995,"Cases Per Million","sum","COVID","all"
"Austria",2,"cases",1124.731,"Cases Per Million","sum","COVID","all"
"Austria",3,"cases",582.987,"Cases Per Million","sum","COVID","all"
"Austria",4,"cases",141.437,"Cases Per Million","sum","COVID","all"
"Austria",5,"cases",114.449,"Cases Per Million","sum","COVID","all"
"Austria",6,"cases",371.996,"Cases Per Million","sum","COVID","all"
"Austria",7,"cases",697.55,"Cases Per Million","sum","COVID","all"
"Austria",8,"cases",1921.359,"Cases Per Million","sum","COVID","all"
"Austria",9,"cases",6647.299,"Cases Per Million","sum","COVID","all"
"Austria",10,"cases",19631.712,"Cases Per Million","sum","COVID","all"
"Austria",11,"cases",8665.086,"Cases Per Million","sum","COVID","all"
"Austria",12,"cases",5925.308,"Cases Per Million","sum","COVID","all"
"Austria",13,"cases",4980.831,"Cases Per Million","sum","COVID","all"
"Austria",14,"cases",9597.29,"Cases Per Million","sum","COVID","all"
"Austria",15,"cases",8032.778,"Cases Per Million","sum","COVID","all"
"Austria",16,"cases",2869.048,"Cases Per Million","sum","COVID","all"
"Austria",17,"cases",618.927,"Cases Per Million","sum","COVID","all"
"Austria",18,"cases",955.871,"Cases Per Million","sum","COVID","all"
"Austria",19,"cases",3234.409,"Cases Per Million","sum","COVID","all"
"Austria",20,"cases",6058.782,"Cases Per Million","sum","COVID","all"
"Austria",21,"cases",9718.601,"Cases Per Million","sum","COVID","all"
"Austria",22,"cases",36382.991,"Cases Per Million","sum","COVID","all"
"Austria",23,"cases",7985.006,"Cases Per Million","sum","COVID","all"
"Azerbaijan",1,"cases",29.148,"Cases Per Million","sum","COVID","all"
"Azerbaijan",2,"cases",147.31,"Cases Per Million","sum","COVID","all"
"Azerbaijan",3,"cases",360.941,"Cases Per Million","sum","COVID","all"
"Azerbaijan",4,"cases",1176.72,"Cases Per Million","sum","COVID","all"
"Azerbaijan",5,"cases",1404.04,"Cases Per Million","sum","COVID","all"
"Azerbaijan",6,"cases",445.743,"Cases Per Million","sum","COVID","all"
"Azerbaijan",7,"cases",371.112,"Cases Per Million","sum","COVID","all"
"Azerbaijan",8,"cases",1471.145,"Cases Per Million","sum","COVID","all"
"Azerbaijan",9,"cases",6446.717,"Cases Per Million","sum","COVID","all"
"Azerbaijan",10,"cases",9539.345,"Cases Per Million","sum","COVID","all"
"Azerbaijan",11,"cases",1126.736,"Cases Per Million","sum","COVID","all"
"Azerbaijan",12,"cases",422.368,"Cases Per Million","sum","COVID","all"
"Azerbaijan",13,"cases",2658.234,"Cases Per Million","sum","COVID","all"
"Azerbaijan",14,"cases",5614.208,"Cases Per Million","sum","COVID","all"
"Azerbaijan",15,"cases",1452.264,"Cases Per Million","sum","COVID","all"
"Azerbaijan",16,"cases",204.531,"Cases Per Million","sum","COVID","all"
"Azerbaijan",17,"cases",763.157,"Cases Per Million","sum","COVID","all"
"Azerbaijan",18,"cases",7927.15,"Cases Per Million","sum","COVID","all"
"Azerbaijan",19,"cases",5772.182,"Cases Per Million","sum","COVID","all"
"Azerbaijan",20,"cases",4643.1,"Cases Per Million","sum","COVID","all"
"Azerbaijan",21,"cases",5570.386,"Cases Per Million","sum","COVID","all"
"Azerbaijan",22,"cases",1631.561,"Cases Per Million","sum","COVID","all"
"Bahamas",1,"cases",35.27,"Cases Per Million","sum","COVID","all"
"Bahamas",2,"cases",168.799,"Cases Per Million","sum","COVID","all"
"Bahamas",3,"cases",52.906,"Cases Per Million","sum","COVID","all"
"Bahamas",4,"cases",5.038,"Cases Per Million","sum","COVID","all"
"Bahamas",5,"cases",1184.132,"Cases Per Million","sum","COVID","all"
"Bahamas",6,"cases",4139.437,"Cases Per Million","sum","COVID","all"
"Bahamas",7,"cases",4802.044,"Cases Per Million","sum","COVID","all"
"Bahamas",8,"cases",6527.864,"Cases Per Million","sum","COVID","all"
"Bahamas",9,"cases",2083.573,"Cases Per Million","sum","COVID","all"
"Bahamas",10,"cases",831.415,"Cases Per Million","sum","COVID","all"
"Bahamas",11,"cases",763.388,"Cases Per Million","sum","COVID","all"
"Bahamas",12,"cases",869.205,"Cases Per Million","sum","COVID","all"
"Bahamas",13,"cases",1511.662,"Cases Per Million","sum","COVID","all"
"Bahamas",14,"cases",3360.928,"Cases Per Million","sum","COVID","all"
"Bahamas",15,"cases",3383.604,"Cases Per Million","sum","COVID","all"
"Bahamas",16,"cases",1990.354,"Cases Per Million","sum","COVID","all"
"Bahamas",17,"cases",5678.811,"Cases Per Million","sum","COVID","all"
"Bahamas",18,"cases",8311.626,"Cases Per Million","sum","COVID","all"
"Bahamas",19,"cases",7167.799,"Cases Per Million","sum","COVID","all"
"Bahamas",20,"cases",3444.071,"Cases Per Million","sum","COVID","all"
"Bahamas",21,"cases",1108.552,"Cases Per Million","sum","COVID","all"
"Bahamas",22,"cases",292.255,"Cases Per Million","sum","COVID","all"
"Bahrain",1,"cases",23.452,"Cases Per Million","sum","COVID","all"
"Bahrain",2,"cases",300.868,"Cases Per Million","sum","COVID","all"
"Bahrain",3,"cases",1414.521,"Cases Per Million","sum","COVID","all"
"Bahrain",4,"cases",4780.659,"Cases Per Million","sum","COVID","all"
"Bahrain",5,"cases",8785.702,"Cases Per Million","sum","COVID","all"
"Bahrain",6,"cases",8135.927,"Cases Per Million","sum","COVID","all"
"Bahrain",7,"cases",6286.124,"Cases Per Million","sum","COVID","all"
"Bahrain",8,"cases",10805.955,"Cases Per Million","sum","COVID","all"
"Bahrain",9,"cases",6166.58,"Cases Per Million","sum","COVID","all"
"Bahrain",10,"cases",3037.818,"Cases Per Million","sum","COVID","all"
"Bahrain",11,"cases",3271.184,"Cases Per Million","sum","COVID","all"
"Bahrain",12,"cases",5938.358,"Cases Per Million","sum","COVID","all"
"Bahrain",13,"cases",11060.491,"Cases Per Million","sum","COVID","all"
"Bahrain",14,"cases",12612.86,"Cases Per Million","sum","COVID","all"
"Bahrain",15,"cases",18583.248,"Cases Per Million","sum","COVID","all"
"Bahrain",16,"cases",36376.584,"Cases Per Million","sum","COVID","all"
"Bahrain",17,"cases",14468.954,"Cases Per Million","sum","COVID","all"
"Bahrain",18,"cases",1921.3,"Cases Per Million","sum","COVID","all"
"Bahrain",19,"cases",1918.444,"Cases Per Million","sum","COVID","all"
"Bahrain",20,"cases",1439.689,"Cases Per Million","sum","COVID","all"
"Bahrain",21,"cases",1013.557,"Cases Per Million","sum","COVID","all"
"Bahrain",22,"cases",492.484,"Cases Per Million","sum","COVID","all"
"Bahrain",23,"cases",214.497,"Cases Per Million","sum","COVID","all"
"Bangladesh",1,"cases",NA,"Cases Per Million","sum","COVID","all"
"Bangladesh",2,"cases",45.793,"Cases Per Million","sum","COVID","all"
"Bangladesh",3,"cases",237.432,"Cases Per Million","sum","COVID","all"
"Bangladesh",4,"cases",591.27,"Cases Per Million","sum","COVID","all"
"Bangladesh",5,"cases",554.274,"Cases Per Million","sum","COVID","all"
"Bangladesh",6,"cases",452.998,"Cases Per Million","sum","COVID","all"
"Bangladesh",7,"cases",303.559,"Cases Per Million","sum","COVID","all"
"Bangladesh",8,"cases",265.809,"Cases Per Million","sum","COVID","all"
"Bangladesh",9,"cases",344.238,"Cases Per Million","sum","COVID","all"
"Bangladesh",10,"cases",292.104,"Cases Per Million","sum","COVID","all"
"Bangladesh",11,"cases",130.059,"Cases Per Million","sum","COVID","all"
"Bangladesh",12,"cases",66.607,"Cases Per Million","sum","COVID","all"
"Bangladesh",13,"cases",391.326,"Cases Per Million","sum","COVID","all"
"Bangladesh",14,"cases",888.961,"Cases Per Million","sum","COVID","all"
"Bangladesh",15,"cases",248.992,"Cases Per Million","sum","COVID","all"
"Bangladesh",16,"cases",677.784,"Cases Per Million","sum","COVID","all"
"Bangladesh",17,"cases",2021.762,"Cases Per Million","sum","COVID","all"
"Bangladesh",18,"cases",1510.097,"Cases Per Million","sum","COVID","all"
"Bangladesh",19,"cases",332.482,"Cases Per Million","sum","COVID","all"
"Bangladesh",20,"cases",81.946,"Cases Per Million","sum","COVID","all"
"Bangladesh",21,"cases",40.558,"Cases Per Million","sum","COVID","all"
"Bangladesh",22,"cases",20.601,"Cases Per Million","sum","COVID","all"
"Barbados",1,"cases",118.174,"Cases Per Million","sum","COVID","all"
"Barbados",2,"cases",163.361,"Cases Per Million","sum","COVID","all"
"Barbados",3,"cases",38.233,"Cases Per Million","sum","COVID","all"
"Barbados",4,"cases",17.379,"Cases Per Million","sum","COVID","all"
"Barbados",5,"cases",45.185,"Cases Per Million","sum","COVID","all"
"Barbados",6,"cases",222.449,"Cases Per Million","sum","COVID","all"
"Barbados",7,"cases",55.613,"Cases Per Million","sum","COVID","all"
"Barbados",8,"cases",163.357,"Cases Per Million","sum","COVID","all"
"Barbados",9,"cases",135.554,"Cases Per Million","sum","COVID","all"
"Barbados",10,"cases",371.902,"Cases Per Million","sum","COVID","all"
"Barbados",11,"cases",4038.817,"Cases Per Million","sum","COVID","all"
"Barbados",12,"cases",5293.561,"Cases Per Million","sum","COVID","all"
"Barbados",13,"cases",2029.835,"Cases Per Million","sum","COVID","all"
"Barbados",14,"cases",705.575,"Cases Per Million","sum","COVID","all"
"Barbados",15,"cases",563.066,"Cases Per Million","sum","COVID","all"
"Barbados",16,"cases",222.447,"Cases Per Million","sum","COVID","all"
"Barbados",17,"cases",1074.003,"Cases Per Million","sum","COVID","all"
"Barbados",18,"cases",2231.428,"Cases Per Million","sum","COVID","all"
"Barbados",19,"cases",11640.274,"Cases Per Million","sum","COVID","all"
"Barbados",20,"cases",32609.45,"Cases Per Million","sum","COVID","all"
"Barbados",21,"cases",26252.309,"Cases Per Million","sum","COVID","all"
"Barbados",22,"cases",5206.668,"Cases Per Million","sum","COVID","all"
"Belarus",1,"cases",0.106,"Cases Per Million","sum","COVID","all"
"Belarus",2,"cases",15.993,"Cases Per Million","sum","COVID","all"
"Belarus",3,"cases",1469.363,"Cases Per Million","sum","COVID","all"
"Belarus",4,"cases",3021.223,"Cases Per Million","sum","COVID","all"
"Belarus",5,"cases",2071.618,"Cases Per Million","sum","COVID","all"
"Belarus",6,"cases",602.574,"Cases Per Million","sum","COVID","all"
"Belarus",7,"cases",427.307,"Cases Per Million","sum","COVID","all"
"Belarus",8,"cases",718.851,"Cases Per Million","sum","COVID","all"
"Belarus",9,"cases",2102.224,"Cases Per Million","sum","COVID","all"
"Belarus",10,"cases",4041.674,"Cases Per Million","sum","COVID","all"
"Belarus",11,"cases",6103.759,"Cases Per Million","sum","COVID","all"
"Belarus",12,"cases",5724.108,"Cases Per Million","sum","COVID","all"
"Belarus",13,"cases",4126.924,"Cases Per Million","sum","COVID","all"
"Belarus",14,"cases",3653.659,"Cases Per Million","sum","COVID","all"
"Belarus",15,"cases",3910.994,"Cases Per Million","sum","COVID","all"
"Belarus",16,"cases",3780.736,"Cases Per Million","sum","COVID","all"
"Belarus",17,"cases",2409.227,"Cases Per Million","sum","COVID","all"
"Belarus",18,"cases",3055.323,"Cases Per Million","sum","COVID","all"
"Belarus",19,"cases",3758.604,"Cases Per Million","sum","COVID","all"
"Belarus",20,"cases",5989.068,"Cases Per Million","sum","COVID","all"
"Belarus",21,"cases",6574.485,"Cases Per Million","sum","COVID","all"
"Belarus",22,"cases",5776.848,"Cases Per Million","sum","COVID","all"
"Belarus",23,"cases",2225.594,"Cases Per Million","sum","COVID","all"
"Belgium",1,"cases",0.086,"Cases Per Million","sum","COVID","all"
"Belgium",2,"cases",1098.147,"Cases Per Million","sum","COVID","all"
"Belgium",3,"cases",3072.815,"Cases Per Million","sum","COVID","all"
"Belgium",4,"cases",847.809,"Cases Per Million","sum","COVID","all"
"Belgium",5,"cases",261.857,"Cases Per Million","sum","COVID","all"
"Belgium",6,"cases",629.623,"Cases Per Million","sum","COVID","all"
"Belgium",7,"cases",1417.171,"Cases Per Million","sum","COVID","all"
"Belgium",8,"cases",2855.487,"Cases Per Million","sum","COVID","all"
"Belgium",9,"cases",26716.652,"Cases Per Million","sum","COVID","all"
"Belgium",10,"cases",12733.129,"Cases Per Million","sum","COVID","all"
"Belgium",11,"cases",5944.722,"Cases Per Million","sum","COVID","all"
"Belgium",12,"cases",5472.419,"Cases Per Million","sum","COVID","all"
"Belgium",13,"cases",5274.778,"Cases Per Million","sum","COVID","all"
"Belgium",14,"cases",9537.378,"Cases Per Million","sum","COVID","all"
"Belgium",15,"cases",9265.209,"Cases Per Million","sum","COVID","all"
"Belgium",16,"cases",6170.044,"Cases Per Million","sum","COVID","all"
"Belgium",17,"cases",1988.422,"Cases Per Million","sum","COVID","all"
"Belgium",18,"cases",3402.927,"Cases Per Million","sum","COVID","all"
"Belgium",19,"cases",5153.651,"Cases Per Million","sum","COVID","all"
"Belgium",20,"cases",5182.967,"Cases Per Million","sum","COVID","all"
"Belgium",21,"cases",9946.069,"Cases Per Million","sum","COVID","all"
"Belgium",22,"cases",34849.839,"Cases Per Million","sum","COVID","all"
"Belgium",23,"cases",16605.266,"Cases Per Million","sum","COVID","all"
"Belize",1,"cases",7.41,"Cases Per Million","sum","COVID","all"
"Belize",2,"cases",37.047,"Cases Per Million","sum","COVID","all"
