scenario,region,subRegion,param,class,x,units,aggregate,value
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),hydro,2100,Electricity Generation by Fuel (TWh),sum,189.6227778
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),nuclear,2025,Electricity Generation by Fuel (TWh),sum,8.5334425
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),nuclear,2050,Electricity Generation by Fuel (TWh),sum,56.05312556
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),nuclear,2075,Electricity Generation by Fuel (TWh),sum,126.0354522
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),nuclear,2100,Electricity Generation by Fuel (TWh),sum,159.1375028
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),refined liquids,2015,Electricity Generation by Fuel (TWh),sum,13.49430556
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),refined liquids,2025,Electricity Generation by Fuel (TWh),sum,15.09111364
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),refined liquids,2050,Electricity Generation by Fuel (TWh),sum,22.95931231
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),refined liquids,2075,Electricity Generation by Fuel (TWh),sum,17.87852063
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),refined liquids,2100,Electricity Generation by Fuel (TWh),sum,14.00691218
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),solar,2015,Electricity Generation by Fuel (TWh),sum,2.878222222
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),solar,2025,Electricity Generation by Fuel (TWh),sum,54.13980311
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),solar,2050,Electricity Generation by Fuel (TWh),sum,540.4883879
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),solar,2075,Electricity Generation by Fuel (TWh),sum,933.2377817
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),solar,2100,Electricity Generation by Fuel (TWh),sum,1113.398012
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),wind,2015,Electricity Generation by Fuel (TWh),sum,1.22575
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),wind,2025,Electricity Generation by Fuel (TWh),sum,26.50821114
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),wind,2050,Electricity Generation by Fuel (TWh),sum,222.0955783
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),wind,2075,Electricity Generation by Fuel (TWh),sum,518.6138183
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),wind,2100,Electricity Generation by Fuel (TWh),sum,662.9482667
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),agriculture,2015,Water Withdrawal by Sector (km3),sum,107.1768784
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),agriculture,2025,Water Withdrawal by Sector (km3),sum,125.1215318
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),agriculture,2050,Water Withdrawal by Sector (km3),sum,147.6925429
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),agriculture,2075,Water Withdrawal by Sector (km3),sum,156.8882469
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),agriculture,2100,Water Withdrawal by Sector (km3),sum,154.4171911
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),desalination,2015,Water Withdrawal by Sector (km3),sum,0.0000235
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),desalination,2025,Water Withdrawal by Sector (km3),sum,0.000483716
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),desalination,2050,Water Withdrawal by Sector (km3),sum,3.794043102
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),desalination,2075,Water Withdrawal by Sector (km3),sum,4.352324434
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),desalination,2100,Water Withdrawal by Sector (km3),sum,4.240964582
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),electricity,2015,Water Withdrawal by Sector (km3),sum,6.921350181
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),electricity,2025,Water Withdrawal by Sector (km3),sum,9.061101718
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),electricity,2050,Water Withdrawal by Sector (km3),sum,9.656351758
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),electricity,2075,Water Withdrawal by Sector (km3),sum,9.409026168
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),electricity,2100,Water Withdrawal by Sector (km3),sum,7.975210457
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),industry,2015,Water Withdrawal by Sector (km3),sum,18.34840691
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),industry,2025,Water Withdrawal by Sector (km3),sum,26.32106601
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),industry,2050,Water Withdrawal by Sector (km3),sum,41.87099941
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),industry,2075,Water Withdrawal by Sector (km3),sum,50.25705369
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),industry,2100,Water Withdrawal by Sector (km3),sum,52.67334885
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),livestock,2015,Water Withdrawal by Sector (km3),sum,3.557740044
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),livestock,2025,Water Withdrawal by Sector (km3),sum,4.253410856
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),livestock,2050,Water Withdrawal by Sector (km3),sum,5.553282212
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),livestock,2075,Water Withdrawal by Sector (km3),sum,6.133270503
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),livestock,2100,Water Withdrawal by Sector (km3),sum,6.320046283
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),mining,2015,Water Withdrawal by Sector (km3),sum,1.295573017
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),mining,2025,Water Withdrawal by Sector (km3),sum,1.56544752
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),mining,2050,Water Withdrawal by Sector (km3),sum,1.798922117
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),mining,2075,Water Withdrawal by Sector (km3),sum,1.269920492
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),mining,2100,Water Withdrawal by Sector (km3),sum,0.551637684
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),municipal,2015,Water Withdrawal by Sector (km3),sum,22.07098264
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),municipal,2025,Water Withdrawal by Sector (km3),sum,26.21106414
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),municipal,2050,Water Withdrawal by Sector (km3),sum,31.46505234
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),municipal,2075,Water Withdrawal by Sector (km3),sum,33.7127219
Scenario 1,TX,TX,Water Withdrawal by Sector (km3),municipal,2100,Water Withdrawal by Sector (km3),sum,32.6310493
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),biomass,2015,Electricity Generation by Fuel (TWh),sum,9.452722222
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),biomass,2025,Electricity Generation by Fuel (TWh),sum,14.85003314
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),biomass,2050,Electricity Generation by Fuel (TWh),sum,37.32112288
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),biomass,2075,Electricity Generation by Fuel (TWh),sum,64.58661903
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),biomass,2100,Electricity Generation by Fuel (TWh),sum,88.93725806
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),coal,2015,Electricity Generation by Fuel (TWh),sum,198.3415
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),coal,2025,Electricity Generation by Fuel (TWh),sum,336.0174328
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),coal,2050,Electricity Generation by Fuel (TWh),sum,524.6820625
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),coal,2075,Electricity Generation by Fuel (TWh),sum,838.3819428
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),coal,2100,Electricity Generation by Fuel (TWh),sum,847.4809833
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),gas,2015,Electricity Generation by Fuel (TWh),sum,322.6959389
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),gas,2025,Electricity Generation by Fuel (TWh),sum,509.0402111
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),gas,2050,Electricity Generation by Fuel (TWh),sum,789.6704722
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),gas,2075,Electricity Generation by Fuel (TWh),sum,981.0415272
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),gas,2100,Electricity Generation by Fuel (TWh),sum,1033.149677
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),geothermal,2015,Electricity Generation by Fuel (TWh),sum,11.045
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),geothermal,2025,Electricity Generation by Fuel (TWh),sum,24.66732778
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),geothermal,2050,Electricity Generation by Fuel (TWh),sum,43.04660556
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),geothermal,2075,Electricity Generation by Fuel (TWh),sum,57.95422222
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),geothermal,2100,Electricity Generation by Fuel (TWh),sum,60.08928056
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),hydro,2015,Electricity Generation by Fuel (TWh),sum,114.3233333
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),hydro,2025,Electricity Generation by Fuel (TWh),sum,123.1822222
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),hydro,2050,Electricity Generation by Fuel (TWh),sum,145.3291667
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),hydro,2075,Electricity Generation by Fuel (TWh),sum,167.4761111
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),hydro,2100,Electricity Generation by Fuel (TWh),sum,189.6227778
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),nuclear,2025,Electricity Generation by Fuel (TWh),sum,8.203963889
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),nuclear,2050,Electricity Generation by Fuel (TWh),sum,50.64728333
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),nuclear,2075,Electricity Generation by Fuel (TWh),sum,124.8729389
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),nuclear,2100,Electricity Generation by Fuel (TWh),sum,160.624375
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),refined liquids,2015,Electricity Generation by Fuel (TWh),sum,13.49430556
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),refined liquids,2025,Electricity Generation by Fuel (TWh),sum,14.58771039
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),refined liquids,2050,Electricity Generation by Fuel (TWh),sum,21.46761931
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),refined liquids,2075,Electricity Generation by Fuel (TWh),sum,17.58356671
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),refined liquids,2100,Electricity Generation by Fuel (TWh),sum,13.96935578
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),solar,2015,Electricity Generation by Fuel (TWh),sum,2.878222222
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),solar,2025,Electricity Generation by Fuel (TWh),sum,52.44372587
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),solar,2050,Electricity Generation by Fuel (TWh),sum,501.4965762
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),solar,2075,Electricity Generation by Fuel (TWh),sum,937.0077364
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),solar,2100,Electricity Generation by Fuel (TWh),sum,1109.419715
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),wind,2015,Electricity Generation by Fuel (TWh),sum,1.22575
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),wind,2025,Electricity Generation by Fuel (TWh),sum,25.45433067
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),wind,2050,Electricity Generation by Fuel (TWh),sum,200.4880742
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),wind,2075,Electricity Generation by Fuel (TWh),sum,529.265135
Scenario 2,TX,TX,Electricity Generation by Fuel (TWh),wind,2100,Electricity Generation by Fuel (TWh),sum,658.3577
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),agriculture,2015,Water Withdrawal by Sector (km3),sum,107.1768784
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),agriculture,2025,Water Withdrawal by Sector (km3),sum,125.1038397
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),agriculture,2050,Water Withdrawal by Sector (km3),sum,147.5501243
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),agriculture,2075,Water Withdrawal by Sector (km3),sum,156.8797883
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),agriculture,2100,Water Withdrawal by Sector (km3),sum,154.4145086
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),desalination,2015,Water Withdrawal by Sector (km3),sum,0.0000235
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),desalination,2025,Water Withdrawal by Sector (km3),sum,0.000484125
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),desalination,2050,Water Withdrawal by Sector (km3),sum,3.785164079
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),desalination,2075,Water Withdrawal by Sector (km3),sum,4.300320256
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),desalination,2100,Water Withdrawal by Sector (km3),sum,4.242932693
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),electricity,2015,Water Withdrawal by Sector (km3),sum,6.921350181
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),electricity,2025,Water Withdrawal by Sector (km3),sum,8.962542083
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),electricity,2050,Water Withdrawal by Sector (km3),sum,9.176255116
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),electricity,2075,Water Withdrawal by Sector (km3),sum,9.336760251
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),electricity,2100,Water Withdrawal by Sector (km3),sum,8.01103892
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),industry,2015,Water Withdrawal by Sector (km3),sum,18.34840691
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),industry,2025,Water Withdrawal by Sector (km3),sum,26.3300945
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),industry,2050,Water Withdrawal by Sector (km3),sum,41.92755756
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),industry,2075,Water Withdrawal by Sector (km3),sum,50.3097518
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),industry,2100,Water Withdrawal by Sector (km3),sum,52.69293917
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),livestock,2015,Water Withdrawal by Sector (km3),sum,3.557740044
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),livestock,2025,Water Withdrawal by Sector (km3),sum,4.255035356
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),livestock,2050,Water Withdrawal by Sector (km3),sum,5.554853924
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),livestock,2075,Water Withdrawal by Sector (km3),sum,6.135616921
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),livestock,2100,Water Withdrawal by Sector (km3),sum,6.320156185
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),mining,2015,Water Withdrawal by Sector (km3),sum,1.295573017
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),mining,2025,Water Withdrawal by Sector (km3),sum,1.56443146
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),mining,2050,Water Withdrawal by Sector (km3),sum,1.813876553
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),mining,2075,Water Withdrawal by Sector (km3),sum,1.277680905
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),mining,2100,Water Withdrawal by Sector (km3),sum,0.559012279
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),municipal,2015,Water Withdrawal by Sector (km3),sum,22.07098264
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),municipal,2025,Water Withdrawal by Sector (km3),sum,26.21133769
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),municipal,2050,Water Withdrawal by Sector (km3),sum,31.47255309
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),municipal,2075,Water Withdrawal by Sector (km3),sum,33.73238658
Scenario 2,TX,TX,Water Withdrawal by Sector (km3),municipal,2100,Water Withdrawal by Sector (km3),sum,32.63056089
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),biomass,2015,Electricity Generation by Fuel (TWh),sum,-5.796682535
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),biomass,2025,Electricity Generation by Fuel (TWh),sum,12.09046546
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),biomass,2050,Electricity Generation by Fuel (TWh),sum,17.54883266
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),biomass,2075,Electricity Generation by Fuel (TWh),sum,53.86124061
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),biomass,2100,Electricity Generation by Fuel (TWh),sum,55.63154196
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),coal,2015,Electricity Generation by Fuel (TWh),sum,182.7181295
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),coal,2025,Electricity Generation by Fuel (TWh),sum,316.5157302
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),coal,2050,Electricity Generation by Fuel (TWh),sum,196.3479591
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),coal,2075,Electricity Generation by Fuel (TWh),sum,-496.7274174
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),coal,2100,Electricity Generation by Fuel (TWh),sum,755.6643902
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),gas,2015,Electricity Generation by Fuel (TWh),sum,-251.4867438
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),gas,2025,Electricity Generation by Fuel (TWh),sum,-322.8869669
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),gas,2050,Electricity Generation by Fuel (TWh),sum,-418.717194
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),gas,2075,Electricity Generation by Fuel (TWh),sum,-401.0300241
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),gas,2100,Electricity Generation by Fuel (TWh),sum,187.286663
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),geothermal,2015,Electricity Generation by Fuel (TWh),sum,-0.193594668
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),geothermal,2025,Electricity Generation by Fuel (TWh),sum,-15.11322988
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),geothermal,2050,Electricity Generation by Fuel (TWh),sum,32.6048184
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),geothermal,2075,Electricity Generation by Fuel (TWh),sum,-39.14132404
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),geothermal,2100,Electricity Generation by Fuel (TWh),sum,1.148088842
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),hydro,2015,Electricity Generation by Fuel (TWh),sum,-13.24725152
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),hydro,2025,Electricity Generation by Fuel (TWh),sum,-99.59951932
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),hydro,2050,Electricity Generation by Fuel (TWh),sum,-106.9319378
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),hydro,2075,Electricity Generation by Fuel (TWh),sum,-132.8955133
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),hydro,2100,Electricity Generation by Fuel (TWh),sum,-158.8884142
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),nuclear,2025,Electricity Generation by Fuel (TWh),sum,0.361710997
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),nuclear,2050,Electricity Generation by Fuel (TWh),sum,10.60461748
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),nuclear,2075,Electricity Generation by Fuel (TWh),sum,-46.63005384
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),nuclear,2100,Electricity Generation by Fuel (TWh),sum,37.16661136
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),refined liquids,2015,Electricity Generation by Fuel (TWh),sum,-4.671900129
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),refined liquids,2025,Electricity Generation by Fuel (TWh),sum,0.52622094
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),refined liquids,2050,Electricity Generation by Fuel (TWh),sum,-2.330653585
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),refined liquids,2075,Electricity Generation by Fuel (TWh),sum,16.98392567
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),refined liquids,2100,Electricity Generation by Fuel (TWh),sum,1.799671198
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),solar,2015,Electricity Generation by Fuel (TWh),sum,2.314128813
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),solar,2025,Electricity Generation by Fuel (TWh),sum,-28.08679975
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),solar,2050,Electricity Generation by Fuel (TWh),sum,443.3687835
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),solar,2075,Electricity Generation by Fuel (TWh),sum,205.7340846
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),solar,2100,Electricity Generation by Fuel (TWh),sum,-825.6862633
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),wind,2015,Electricity Generation by Fuel (TWh),sum,0.64988212
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),wind,2025,Electricity Generation by Fuel (TWh),sum,-1.203782608
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),wind,2050,Electricity Generation by Fuel (TWh),sum,-10.45514155
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),wind,2075,Electricity Generation by Fuel (TWh),sum,403.2329306
Scenario 3,TX,TX,Electricity Generation by Fuel (TWh),wind,2100,Electricity Generation by Fuel (TWh),sum,-22.12889912
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),agriculture,2015,Water Withdrawal by Sector (km3),sum,55.38796826
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),agriculture,2025,Water Withdrawal by Sector (km3),sum,76.05020767
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),agriculture,2050,Water Withdrawal by Sector (km3),sum,104.5778879
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),agriculture,2075,Water Withdrawal by Sector (km3),sum,76.88151662
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),agriculture,2100,Water Withdrawal by Sector (km3),sum,-14.47650716
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),desalination,2015,Water Withdrawal by Sector (km3),sum,-0.00000306
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),desalination,2025,Water Withdrawal by Sector (km3),sum,-0.000309441
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),desalination,2050,Water Withdrawal by Sector (km3),sum,1.560598841
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),desalination,2075,Water Withdrawal by Sector (km3),sum,-4.224523393
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),desalination,2100,Water Withdrawal by Sector (km3),sum,1.23784827
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),electricity,2015,Water Withdrawal by Sector (km3),sum,-2.849495081
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),electricity,2025,Water Withdrawal by Sector (km3),sum,-2.792000963
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),electricity,2050,Water Withdrawal by Sector (km3),sum,-2.191635986
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),electricity,2075,Water Withdrawal by Sector (km3),sum,-3.581061678
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),electricity,2100,Water Withdrawal by Sector (km3),sum,1.54829519
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),industry,2015,Water Withdrawal by Sector (km3),sum,12.89136352
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),industry,2025,Water Withdrawal by Sector (km3),sum,-14.45794873
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),industry,2050,Water Withdrawal by Sector (km3),sum,23.00687841
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),industry,2075,Water Withdrawal by Sector (km3),sum,13.00704223
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),industry,2100,Water Withdrawal by Sector (km3),sum,29.54062039
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),livestock,2015,Water Withdrawal by Sector (km3),sum,3.027482263
Scenario 3,TX,TX,Water Withdrawal by Sector (km3),livestock,2025,Water Withdrawal by Sector (km3),sum,-0.040723083
