scenario,region,subRegion,param,class,x,units,aggregate,value
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),biomass,2015,Electricity Generation by Fuel (TWh),sum,9.452722222
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),biomass,2025,Electricity Generation by Fuel (TWh),sum,15.21786245
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),biomass,2050,Electricity Generation by Fuel (TWh),sum,40.00989534
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),biomass,2075,Electricity Generation by Fuel (TWh),sum,65.40188625
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),biomass,2100,Electricity Generation by Fuel (TWh),sum,88.72010806
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),coal,2015,Electricity Generation by Fuel (TWh),sum,198.3415
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),coal,2025,Electricity Generation by Fuel (TWh),sum,339.6955728
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),coal,2050,Electricity Generation by Fuel (TWh),sum,559.4537669
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),coal,2075,Electricity Generation by Fuel (TWh),sum,849.1486933
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),coal,2100,Electricity Generation by Fuel (TWh),sum,836.2880861
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),gas,2015,Electricity Generation by Fuel (TWh),sum,322.6959389
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),gas,2025,Electricity Generation by Fuel (TWh),sum,517.1659444
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),gas,2050,Electricity Generation by Fuel (TWh),sum,843.1187667
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),gas,2075,Electricity Generation by Fuel (TWh),sum,983.3800169
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),gas,2100,Electricity Generation by Fuel (TWh),sum,1036.193588
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),geothermal,2015,Electricity Generation by Fuel (TWh),sum,11.045
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),geothermal,2025,Electricity Generation by Fuel (TWh),sum,25.06163056
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),geothermal,2050,Electricity Generation by Fuel (TWh),sum,45.6569
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),geothermal,2075,Electricity Generation by Fuel (TWh),sum,57.52226111
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),geothermal,2100,Electricity Generation by Fuel (TWh),sum,60.26105833
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),hydro,2015,Electricity Generation by Fuel (TWh),sum,114.3233333
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),hydro,2025,Electricity Generation by Fuel (TWh),sum,123.1822222
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),hydro,2050,Electricity Generation by Fuel (TWh),sum,145.3291667
Scenario 1,TX,TX,Electricity Generation by Fuel (TWh),hydro,2075,Electricity Generation by Fuel (TWh),sum,167.4761111
