scenario,region,subRegion,param,sources,class,x,xLabel,vintage,units,aggregate,classLabel,classPalette,origScen,origQuery,origUnits,origX,value
Scenario 1,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,1975,Year,Vint_1975,Ag Production (Mt),sum,Crop,pal_metis,Scenario 1,ag production by tech,Mt,1975,0.0036314
Scenario 1,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,1990,Year,Vint_1990,Ag Production (Mt),sum,Crop,pal_metis,Scenario 1,ag production by tech,Mt,1990,0.01097998
Scenario 1,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2005,Year,Vint_2005,Ag Production (Mt),sum,Crop,pal_metis,Scenario 1,ag production by tech,Mt,2005,0.0509037
Scenario 1,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2010,Year,Vint_2010,Ag Production (Mt),sum,Crop,pal_metis,Scenario 1,ag production by tech,Mt,2010,0.075551
Scenario 1,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2015,Year,Vint_2015,Ag Production (Mt),sum,Crop,pal_metis,Scenario 1,ag production by tech,Mt,2015,0.0948153
Scenario 1,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2020,Year,Vint_2020,Ag Production (Mt),sum,Crop,pal_metis,Scenario 1,ag production by tech,Mt,2020,0.095432446
Scenario 1,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2025,Year,Vint_2025,Ag Production (Mt),sum,Crop,pal_metis,Scenario 1,ag production by tech,Mt,2025,0.095062312
Scenario 1,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2030,Year,Vint_2030,Ag Production (Mt),sum,Crop,pal_metis,Scenario 1,ag production by tech,Mt,2030,0.093268883
Scenario 1,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2035,Year,Vint_2035,Ag Production (Mt),sum,Crop,pal_metis,Scenario 1,ag production by tech,Mt,2035,0.087684559
Scenario 1,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2040,Year,Vint_2040,Ag Production (Mt),sum,Crop,pal_metis,Scenario 1,ag production by tech,Mt,2040,0.08250185
Scenario 1,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2045,Year,Vint_2045,Ag Production (Mt),sum,Crop,pal_metis,Scenario 1,ag production by tech,Mt,2045,0.078813048
Scenario 1,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2050,Year,Vint_2050,Ag Production (Mt),sum,Crop,pal_metis,Scenario 1,ag production by tech,Mt,2050,0.075194435
Scenario 1,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2055,Year,Vint_2055,Ag Production (Mt),sum,Crop,pal_metis,Scenario 1,ag production by tech,Mt,2055,0.077144602
Scenario 1,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2060,Year,Vint_2060,Ag Production (Mt),sum,Crop,pal_metis,Scenario 1,ag production by tech,Mt,2060,0.078652255
Scenario 1,Southeast Asia,BengalBay,Ag Production (Mt),NA,Corn,2065,Year,Vint_2065,Ag Production (Mt),sum,Crop,pal_metis,Scenario 1,ag production by tech,Mt,2065,0.0797503
