"id","param","scenario","dataset","region","x","units","value"
1,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",1975,"Primary Energy Consumption by Fuel (EJ)",0.284666302
2,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",1990,"Primary Energy Consumption by Fuel (EJ)",2.179421347
3,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2005,"Primary Energy Consumption by Fuel (EJ)",3.8228552031
4,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2010,"Primary Energy Consumption by Fuel (EJ)",4.45798461
5,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2015,"Primary Energy Consumption by Fuel (EJ)",5.084506712
6,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2020,"Primary Energy Consumption by Fuel (EJ)",5.79659411431051
7,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2025,"Primary Energy Consumption by Fuel (EJ)",6.70029606443841
8,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2030,"Primary Energy Consumption by Fuel (EJ)",7.99995325014131
9,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2035,"Primary Energy Consumption by Fuel (EJ)",9.67610701745411
10,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2040,"Primary Energy Consumption by Fuel (EJ)",11.7872135885727
11,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2045,"Primary Energy Consumption by Fuel (EJ)",14.0969547475394
12,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2050,"Primary Energy Consumption by Fuel (EJ)",16.4994335032424
13,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2055,"Primary Energy Consumption by Fuel (EJ)",18.6874838058267
14,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2060,"Primary Energy Consumption by Fuel (EJ)",20.7142947370394
15,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2065,"Primary Energy Consumption by Fuel (EJ)",22.5780735089735
16,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2070,"Primary Energy Consumption by Fuel (EJ)",24.138250723097
17,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2075,"Primary Energy Consumption by Fuel (EJ)",25.374359490978
18,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2080,"Primary Energy Consumption by Fuel (EJ)",26.26092105587
19,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2085,"Primary Energy Consumption by Fuel (EJ)",26.82039732704
20,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2090,"Primary Energy Consumption by Fuel (EJ)",27.06133323881
21,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2095,"Primary Energy Consumption by Fuel (EJ)",27.02413404542
22,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern",2100,"Primary Energy Consumption by Fuel (EJ)",26.83873447857
23,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",1975,"Primary Energy Consumption by Fuel (EJ)",0.12117316
24,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",1990,"Primary Energy Consumption by Fuel (EJ)",3.40051718
25,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2005,"Primary Energy Consumption by Fuel (EJ)",5.74013573724
26,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2010,"Primary Energy Consumption by Fuel (EJ)",6.9657478653
27,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2015,"Primary Energy Consumption by Fuel (EJ)",7.391724111493
28,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2020,"Primary Energy Consumption by Fuel (EJ)",9.00141958379171
29,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2025,"Primary Energy Consumption by Fuel (EJ)",10.3098789252474
30,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2030,"Primary Energy Consumption by Fuel (EJ)",11.7178709766104
31,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2035,"Primary Energy Consumption by Fuel (EJ)",13.0905110430624
32,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2040,"Primary Energy Consumption by Fuel (EJ)",14.2544236656764
33,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2045,"Primary Energy Consumption by Fuel (EJ)",15.2611615346284
34,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2050,"Primary Energy Consumption by Fuel (EJ)",16.0315867195077
35,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2055,"Primary Energy Consumption by Fuel (EJ)",16.660667190216
36,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2060,"Primary Energy Consumption by Fuel (EJ)",17.032446587991
37,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2065,"Primary Energy Consumption by Fuel (EJ)",16.9194495614962
38,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2070,"Primary Energy Consumption by Fuel (EJ)",16.6601819653036
39,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2075,"Primary Energy Consumption by Fuel (EJ)",16.236285532404
40,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2080,"Primary Energy Consumption by Fuel (EJ)",15.654792694816
41,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2085,"Primary Energy Consumption by Fuel (EJ)",14.984862600422
42,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2090,"Primary Energy Consumption by Fuel (EJ)",14.309525440121
43,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2095,"Primary Energy Consumption by Fuel (EJ)",13.807558564296
44,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Northern",2100,"Primary Energy Consumption by Fuel (EJ)",13.342097620096
45,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Southern",1975,"Primary Energy Consumption by Fuel (EJ)",0.310250374
46,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Southern",1990,"Primary Energy Consumption by Fuel (EJ)",1.83677228
47,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Southern",2005,"Primary Energy Consumption by Fuel (EJ)",2.44421961001
48,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Southern",2010,"Primary Energy Consumption by Fuel (EJ)",2.73774348102
