"id","param","scenario","dataset","region","classLabel","class","x","units","value"
1,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2005,"Primary Energy Consumption by Fuel (EJ)",0.58128
2,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2010,"Primary Energy Consumption by Fuel (EJ)",0.811773
3,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2015,"Primary Energy Consumption by Fuel (EJ)",0.985287
4,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2020,"Primary Energy Consumption by Fuel (EJ)",1.3669
5,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2025,"Primary Energy Consumption by Fuel (EJ)",1.41364
6,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2030,"Primary Energy Consumption by Fuel (EJ)",1.4641
7,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2035,"Primary Energy Consumption by Fuel (EJ)",1.5541
8,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2040,"Primary Energy Consumption by Fuel (EJ)",1.57151
9,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2045,"Primary Energy Consumption by Fuel (EJ)",1.3953
10,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2050,"Primary Energy Consumption by Fuel (EJ)",1.18823
11,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2055,"Primary Energy Consumption by Fuel (EJ)",1.05638
12,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2060,"Primary Energy Consumption by Fuel (EJ)",0.94551
13,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2065,"Primary Energy Consumption by Fuel (EJ)",0.840039
14,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2070,"Primary Energy Consumption by Fuel (EJ)",0.748373
15,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2075,"Primary Energy Consumption by Fuel (EJ)",0.661111
16,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2080,"Primary Energy Consumption by Fuel (EJ)",0.577752
17,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2085,"Primary Energy Consumption by Fuel (EJ)",0.512702
18,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2090,"Primary Energy Consumption by Fuel (EJ)",0.462325
19,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2095,"Primary Energy Consumption by Fuel (EJ)",0.419421
20,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","a oil",2100,"Primary Energy Consumption by Fuel (EJ)",0.381439
21,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","b natural gas",2005,"Primary Energy Consumption by Fuel (EJ)",0.0380846
22,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","b natural gas",2010,"Primary Energy Consumption by Fuel (EJ)",0.0393054
23,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","b natural gas",2015,"Primary Energy Consumption by Fuel (EJ)",0.0424984
24,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","b natural gas",2020,"Primary Energy Consumption by Fuel (EJ)",0.0773758
25,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","b natural gas",2025,"Primary Energy Consumption by Fuel (EJ)",0.1282031
26,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","b natural gas",2030,"Primary Energy Consumption by Fuel (EJ)",0.2215027
27,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","b natural gas",2035,"Primary Energy Consumption by Fuel (EJ)",0.3386357
28,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","b natural gas",2040,"Primary Energy Consumption by Fuel (EJ)",0.4251084
29,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","b natural gas",2045,"Primary Energy Consumption by Fuel (EJ)",0.50086351
30,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","b natural gas",2050,"Primary Energy Consumption by Fuel (EJ)",0.54018813
31,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","b natural gas",2055,"Primary Energy Consumption by Fuel (EJ)",0.55776192
32,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","b natural gas",2060,"Primary Energy Consumption by Fuel (EJ)",0.5402934
33,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","b natural gas",2065,"Primary Energy Consumption by Fuel (EJ)",0.5033399
34,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","b natural gas",2070,"Primary Energy Consumption by Fuel (EJ)",0.46519
35,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","b natural gas",2075,"Primary Energy Consumption by Fuel (EJ)",0.4171308
36,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","Africa_Eastern","Fuel","b natural gas",2080,"Primary Energy Consumption by Fuel (EJ)",0.3629914
