"id","param","scenario","dataset","region","x","units","value"
1,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",1975,"Primary Energy Consumption by Fuel (EJ)",49.1820592363
2,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",1990,"Primary Energy Consumption by Fuel (EJ)",265.85042685372
3,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2005,"Primary Energy Consumption by Fuel (EJ)",330.32579480231
4,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2010,"Primary Energy Consumption by Fuel (EJ)",379.22098043969
5,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2015,"Primary Energy Consumption by Fuel (EJ)",391.285856993273
6,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2020,"Primary Energy Consumption by Fuel (EJ)",437.405982095579
7,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2025,"Primary Energy Consumption by Fuel (EJ)",472.111596241113
8,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2030,"Primary Energy Consumption by Fuel (EJ)",507.6511446534
9,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2035,"Primary Energy Consumption by Fuel (EJ)",543.611077857375
10,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2040,"Primary Energy Consumption by Fuel (EJ)",577.613231387933
11,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2045,"Primary Energy Consumption by Fuel (EJ)",610.508785393044
12,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2050,"Primary Energy Consumption by Fuel (EJ)",638.970709058314
13,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2055,"Primary Energy Consumption by Fuel (EJ)",655.841567428432
14,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2060,"Primary Energy Consumption by Fuel (EJ)",664.83746434087
15,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2065,"Primary Energy Consumption by Fuel (EJ)",666.804800654189
16,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2070,"Primary Energy Consumption by Fuel (EJ)",665.051666504138
17,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2075,"Primary Energy Consumption by Fuel (EJ)",655.957143258832
18,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2080,"Primary Energy Consumption by Fuel (EJ)",640.424388861245
19,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2085,"Primary Energy Consumption by Fuel (EJ)",622.95432990286
20,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2090,"Primary Energy Consumption by Fuel (EJ)",603.79417113865
21,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2095,"Primary Energy Consumption by Fuel (EJ)",583.989122340425
22,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global",2100,"Primary Energy Consumption by Fuel (EJ)",563.672145970584
23,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",1975,"Primary Energy Consumption by Fuel (EJ)",49.1820592363
24,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",1990,"Primary Energy Consumption by Fuel (EJ)",265.85042685372
25,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2005,"Primary Energy Consumption by Fuel (EJ)",330.32579480231
26,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2010,"Primary Energy Consumption by Fuel (EJ)",379.22098043969
27,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2015,"Primary Energy Consumption by Fuel (EJ)",391.285856993273
28,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2020,"Primary Energy Consumption by Fuel (EJ)",442.573072190192
29,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2025,"Primary Energy Consumption by Fuel (EJ)",485.390864599935
30,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2030,"Primary Energy Consumption by Fuel (EJ)",523.98667344146
31,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2035,"Primary Energy Consumption by Fuel (EJ)",559.335198412218
32,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2040,"Primary Energy Consumption by Fuel (EJ)",595.12404700679
33,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2045,"Primary Energy Consumption by Fuel (EJ)",632.511584687876
34,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2050,"Primary Energy Consumption by Fuel (EJ)",666.334343199953
35,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2055,"Primary Energy Consumption by Fuel (EJ)",690.764941025128
36,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2060,"Primary Energy Consumption by Fuel (EJ)",711.286967109152
37,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2065,"Primary Energy Consumption by Fuel (EJ)",727.564515467336
38,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2070,"Primary Energy Consumption by Fuel (EJ)",741.685256873254
39,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2075,"Primary Energy Consumption by Fuel (EJ)",749.635247431312
40,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2080,"Primary Energy Consumption by Fuel (EJ)",751.753342917754
41,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2085,"Primary Energy Consumption by Fuel (EJ)",752.064075165895
42,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2090,"Primary Energy Consumption by Fuel (EJ)",751.248220098
43,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2095,"Primary Energy Consumption by Fuel (EJ)",750.498599388603
44,"energyPrimaryByFuelEJ","GCAM_SSP2","gcamv7p0","global",2100,"Primary Energy Consumption by Fuel (EJ)",748.618916734483
45,"energyPrimaryByFuelEJ","GCAM_SSP3","gcamv7p0","global",1975,"Primary Energy Consumption by Fuel (EJ)",49.1820592363
46,"energyPrimaryByFuelEJ","GCAM_SSP3","gcamv7p0","global",1990,"Primary Energy Consumption by Fuel (EJ)",265.85042685372
