"id","param","scenario","dataset","region","classLabel","class","x","units","value"
1,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",1990,"Primary Energy Consumption by Fuel (EJ)",72.70134942
2,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2005,"Primary Energy Consumption by Fuel (EJ)",80.23121425
3,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2010,"Primary Energy Consumption by Fuel (EJ)",88.253983276
4,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2015,"Primary Energy Consumption by Fuel (EJ)",90.3894724223
5,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2020,"Primary Energy Consumption by Fuel (EJ)",98.75614279
6,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2025,"Primary Energy Consumption by Fuel (EJ)",96.3484765
7,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2030,"Primary Energy Consumption by Fuel (EJ)",93.7105543
8,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2035,"Primary Energy Consumption by Fuel (EJ)",92.6847975
9,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2040,"Primary Energy Consumption by Fuel (EJ)",89.8577367
10,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2045,"Primary Energy Consumption by Fuel (EJ)",85.4158578
11,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2050,"Primary Energy Consumption by Fuel (EJ)",80.781435
12,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2055,"Primary Energy Consumption by Fuel (EJ)",78.2485396
13,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2060,"Primary Energy Consumption by Fuel (EJ)",77.01274707
14,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2065,"Primary Energy Consumption by Fuel (EJ)",76.19304202
15,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2070,"Primary Energy Consumption by Fuel (EJ)",76.88314624
16,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2075,"Primary Energy Consumption by Fuel (EJ)",76.92649424
17,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2080,"Primary Energy Consumption by Fuel (EJ)",74.98268018
18,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2085,"Primary Energy Consumption by Fuel (EJ)",72.5034302
19,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2090,"Primary Energy Consumption by Fuel (EJ)",69.979490805
20,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2095,"Primary Energy Consumption by Fuel (EJ)",67.689399595
21,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","a oil",2100,"Primary Energy Consumption by Fuel (EJ)",65.726666116
22,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","b natural gas",1975,"Primary Energy Consumption by Fuel (EJ)",19.45834586
23,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","b natural gas",1990,"Primary Energy Consumption by Fuel (EJ)",57.9401669
24,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","b natural gas",2005,"Primary Energy Consumption by Fuel (EJ)",74.9921853
25,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","b natural gas",2010,"Primary Energy Consumption by Fuel (EJ)",88.71974
26,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","b natural gas",2015,"Primary Energy Consumption by Fuel (EJ)",91.9008007
27,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","b natural gas",2020,"Primary Energy Consumption by Fuel (EJ)",102.4220586
28,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","b natural gas",2025,"Primary Energy Consumption by Fuel (EJ)",110.20445111
29,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","b natural gas",2030,"Primary Energy Consumption by Fuel (EJ)",120.84244628
30,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","b natural gas",2035,"Primary Energy Consumption by Fuel (EJ)",130.301463185
31,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","b natural gas",2040,"Primary Energy Consumption by Fuel (EJ)",136.761544603
32,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","b natural gas",2045,"Primary Energy Consumption by Fuel (EJ)",142.842037616
33,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","b natural gas",2050,"Primary Energy Consumption by Fuel (EJ)",147.294956023
34,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","b natural gas",2055,"Primary Energy Consumption by Fuel (EJ)",151.515515487
35,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","b natural gas",2060,"Primary Energy Consumption by Fuel (EJ)",153.802592233
36,"energyPrimaryByFuelEJ","GCAM_SSP1","gcamv7p0","global","Fuel","b natural gas",2065,"Primary Energy Consumption by Fuel (EJ)",149.856678555
